"Date","6Mo","5Yr","10Yr","GDP","UNRATE","CPIAUCNS","SP500_Close","Fedrate"
2019-01-02,2.51,2.49,2.66,21111.6,4,251.712,2510.03002929688,2.4
2019-01-03,2.47,2.37,2.56,21111.6,4,251.712,2447.88989257812,2.4
2019-01-04,2.51,2.49,2.67,21111.6,4,251.712,2531.93994140625,2.4
2019-01-07,2.54,2.53,2.7,21111.6,4,251.712,2549.68994140625,2.4
2019-01-08,2.54,2.58,2.73,21111.6,4,251.712,2574.40991210938,2.4
2019-01-09,2.52,2.57,2.74,21111.6,4,251.712,2584.9599609375,2.4
2019-01-10,2.51,2.56,2.74,21111.6,4,251.712,2596.63989257812,2.4
2019-01-11,2.5,2.52,2.71,21111.6,4,251.712,2596.26000976562,2.4
2019-01-14,2.52,2.53,2.71,21111.6,4,251.712,2582.61010742188,2.4
2019-01-15,2.52,2.53,2.72,21111.6,4,251.712,2610.30004882812,2.4
2019-01-16,2.49,2.54,2.73,21111.6,4,251.712,2616.10009765625,2.4
2019-01-17,2.5,2.58,2.75,21111.6,4,251.712,2635.9599609375,2.4
2019-01-18,2.5,2.62,2.79,21111.6,4,251.712,2670.7099609375,2.4
2019-01-22,2.51,2.57,2.74,21111.6,4,251.712,2632.89990234375,2.4
2019-01-23,2.51,2.59,2.76,21111.6,4,251.712,2638.69995117188,2.4
2019-01-24,2.5,2.55,2.72,21111.6,4,251.712,2642.330078125,2.4
2019-01-25,2.51,2.59,2.76,21111.6,4,251.712,2664.76000976562,2.4
2019-01-28,2.51,2.58,2.75,21111.6,4,251.712,2643.85009765625,2.4
2019-01-29,2.51,2.55,2.72,21111.6,4,251.712,2640,2.4
2019-01-30,2.5,2.49,2.7,21111.6,4,251.712,2681.05004882812,2.4
2019-01-31,2.46,2.43,2.63,21111.6,4,251.712,2704.10009765625,2.4
2019-02-01,2.46,2.51,2.7,21111.6,3.8,252.776,2706.53002929688,2.4
2019-02-04,2.49,2.53,2.73,21111.6,3.8,252.776,2724.8701171875,2.4
2019-02-05,2.5,2.51,2.71,21111.6,3.8,252.776,2737.69995117188,2.4
2019-02-06,2.5,2.5,2.7,21111.6,3.8,252.776,2731.61010742188,2.4
2019-02-07,2.49,2.46,2.65,21111.6,3.8,252.776,2706.05004882812,2.4
2019-02-08,2.49,2.44,2.63,21111.6,3.8,252.776,2707.8798828125,2.4
2019-02-11,2.51,2.47,2.65,21111.6,3.8,252.776,2709.80004882812,2.4
2019-02-12,2.5,2.49,2.68,21111.6,3.8,252.776,2744.72998046875,2.4
2019-02-13,2.51,2.53,2.71,21111.6,3.8,252.776,2753.03002929688,2.4
2019-02-14,2.51,2.48,2.66,21111.6,3.8,252.776,2745.72998046875,2.4
2019-02-15,2.5,2.49,2.66,21111.6,3.8,252.776,2775.60009765625,2.4
2019-02-19,2.52,2.47,2.65,21111.6,3.8,252.776,2779.76000976562,2.4
2019-02-20,2.51,2.47,2.65,21111.6,3.8,252.776,2784.69995117188,2.4
2019-02-21,2.51,2.51,2.69,21111.6,3.8,252.776,2774.8798828125,2.4
2019-02-22,2.51,2.47,2.65,21111.6,3.8,252.776,2792.669921875,2.4
2019-02-25,2.51,2.48,2.67,21111.6,3.8,252.776,2796.11010742188,2.4
2019-02-26,2.51,2.45,2.64,21111.6,3.8,252.776,2793.89990234375,2.4
2019-02-27,2.52,2.49,2.69,21111.6,3.8,252.776,2792.3798828125,2.4
2019-02-28,2.5,2.52,2.73,21111.6,3.8,252.776,2784.48999023438,2.4
2019-03-01,2.52,2.56,2.76,21111.6,3.8,254.202,2803.68994140625,2.4
2019-03-04,2.54,2.53,2.72,21111.6,3.8,254.202,2792.81005859375,2.4
2019-03-05,2.53,2.53,2.72,21111.6,3.8,254.202,2789.64990234375,2.4
2019-03-06,2.53,2.49,2.69,21111.6,3.8,254.202,2771.44995117188,2.4
2019-03-07,2.52,2.44,2.64,21111.6,3.8,254.202,2748.92993164062,2.4
2019-03-08,2.52,2.42,2.62,21111.6,3.8,254.202,2743.07006835938,2.4
2019-03-11,2.54,2.44,2.64,21111.6,3.8,254.202,2783.30004882812,2.4
2019-03-12,2.53,2.41,2.61,21111.6,3.8,254.202,2791.52001953125,2.4
2019-03-13,2.53,2.42,2.61,21111.6,3.8,254.202,2810.919921875,2.4
2019-03-14,2.52,2.43,2.63,21111.6,3.8,254.202,2808.47998046875,2.4
2019-03-15,2.52,2.4,2.59,21111.6,3.8,254.202,2822.47998046875,2.4
2019-03-18,2.51,2.42,2.6,21111.6,3.8,254.202,2832.93994140625,2.4
2019-03-19,2.52,2.42,2.61,21111.6,3.8,254.202,2832.57006835938,2.4
2019-03-20,2.49,2.34,2.54,21111.6,3.8,254.202,2824.22998046875,2.41
2019-03-21,2.5,2.34,2.54,21111.6,3.8,254.202,2854.8798828125,2.41
2019-03-22,2.48,2.24,2.44,21111.6,3.8,254.202,2800.7099609375,2.41
2019-03-25,2.49,2.21,2.43,21111.6,3.8,254.202,2798.36010742188,2.4
2019-03-26,2.49,2.18,2.41,21111.6,3.8,254.202,2818.4599609375,2.4
2019-03-27,2.46,2.18,2.39,21111.6,3.8,254.202,2805.3701171875,2.41
2019-03-28,2.44,2.2,2.39,21111.6,3.8,254.202,2815.43994140625,2.41
2019-03-29,2.44,2.23,2.41,21111.6,3.8,254.202,2834.39990234375,2.43
2019-04-01,2.46,2.31,2.49,21397.938,3.7,255.548,2867.18994140625,2.41
2019-04-02,2.45,2.28,2.48,21397.938,3.7,255.548,2867.23999023438,2.41
2019-04-03,2.45,2.32,2.52,21397.938,3.7,255.548,2873.39990234375,2.41
2019-04-04,2.46,2.32,2.51,21397.938,3.7,255.548,2879.38989257812,2.41
2019-04-05,2.46,2.31,2.5,21397.938,3.7,255.548,2892.73999023438,2.41
2019-04-08,2.48,2.33,2.52,21397.938,3.7,255.548,2895.77001953125,2.41
2019-04-09,2.46,2.31,2.51,21397.938,3.7,255.548,2878.19995117188,2.41
2019-04-10,2.46,2.28,2.48,21397.938,3.7,255.548,2888.2099609375,2.41
2019-04-11,2.46,2.31,2.51,21397.938,3.7,255.548,2888.32006835938,2.41
2019-04-12,2.47,2.38,2.56,21397.938,3.7,255.548,2907.40991210938,2.41
2019-04-15,2.46,2.37,2.55,21397.938,3.7,255.548,2905.580078125,2.41
2019-04-16,2.47,2.41,2.6,21397.938,3.7,255.548,2907.06005859375,2.41
